age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
65,retired,divorced,secondary,no,795.4673747662624,no,no,cellular,5,jul,182,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,1560.2602820287564,no,no,unknown,16,jun,1323,9,-1,0,unknown,yes
35,blue-collar,single,secondary,no,4367.0737498381495,yes,no,cellular,14,may,456,1,300,1,failure,yes
47,blue-collar,married,secondary,no,9624.918754998958,no,no,cellular,8,aug,784,2,-1,0,unknown,yes
35,technician,married,tertiary,no,1436.0561299172616,yes,no,unknown,12,may,84,3,-1,0,unknown,no
30,management,single,tertiary,no,107.07357445179068,no,no,cellular,28,jan,430,1,-1,0,unknown,no
47,admin.,married,secondary,no,3742.7834563711426,yes,yes,telephone,9,jul,337,1,-1,0,unknown,no
56,blue-collar,married,secondary,no,731.0712445585314,yes,yes,unknown,19,jun,254,1,-1,0,unknown,no
35,self-employed,divorced,secondary,no,3838.2438862876356,no,no,cellular,30,jul,409,4,-1,0,unknown,no
26,student,single,tertiary,no,12073.206461177824,no,no,cellular,8,jul,475,3,78,2,success,no
55,technician,married,secondary,no,0.0,no,no,cellular,27,jul,506,2,-1,0,unknown,no
49,management,married,tertiary,no,20.628328165672983,yes,no,cellular,4,feb,117,1,-1,0,unknown,no
26,technician,single,secondary,no,462.6318948680347,no,no,cellular,30,apr,380,1,-1,0,unknown,yes
46,blue-collar,divorced,primary,no,186.49716031735983,yes,no,cellular,21,nov,729,1,-1,0,unknown,yes
27,admin.,single,secondary,no,5552.219735730934,no,no,telephone,12,nov,411,4,192,1,other,yes
35,management,married,secondary,no,100.34535652415322,yes,no,unknown,29,may,135,4,-1,0,unknown,no
29,admin.,single,secondary,no,474.3878799123271,no,no,cellular,9,nov,208,2,91,3,success,yes
29,technician,single,secondary,no,96.01161248258026,no,no,cellular,12,feb,328,2,183,4,success,yes
56,admin.,married,secondary,no,6180.194691399827,no,no,unknown,19,jun,74,1,-1,0,unknown,no
37,admin.,married,secondary,no,1113.1484415634366,no,no,cellular,31,jul,126,5,-1,0,unknown,no
27,technician,single,secondary,no,176.08990355690275,no,no,cellular,28,jul,471,2,-1,0,unknown,yes
22,student,single,secondary,no,219.59262260812008,no,no,cellular,13,jan,143,2,-1,0,unknown,yes
43,technician,single,secondary,no,677.730055416707,yes,no,unknown,5,may,55,1,-1,0,unknown,no
27,student,single,secondary,no,3081.603439986767,no,no,cellular,8,apr,143,2,-1,0,unknown,yes
43,technician,married,secondary,no,0.0,no,yes,cellular,8,may,9,2,172,5,failure,no
53,blue-collar,married,secondary,yes,-636.0383126861421,no,no,cellular,19,aug,695,3,-1,0,unknown,no
28,management,single,tertiary,no,10065.152464322875,no,no,cellular,2,jul,276,2,-1,0,unknown,yes
47,admin.,married,secondary,no,1661.106335380978,yes,no,cellular,14,oct,158,1,826,1,failure,no
38,management,married,tertiary,no,674.5709891893016,no,no,cellular,30,apr,242,1,86,1,success,yes
57,blue-collar,married,unknown,no,2835.7866891775348,no,no,cellular,28,aug,161,4,-1,0,unknown,no
35,blue-collar,married,primary,no,105.16250821890829,yes,no,unknown,20,may,1334,1,-1,0,unknown,yes
34,blue-collar,single,secondary,no,452.24005136418594,yes,no,cellular,20,apr,90,3,346,1,failure,no
28,technician,single,secondary,no,296.6910233291418,no,yes,cellular,29,jan,133,1,-1,0,unknown,no
39,entrepreneur,married,secondary,no,11522.811422639434,no,no,cellular,18,nov,1181,2,-1,0,unknown,yes
31,management,single,tertiary,no,2223.4062372841054,no,no,cellular,30,apr,209,1,-1,0,unknown,yes
26,entrepreneur,married,tertiary,yes,159.44436783256222,no,yes,cellular,25,jul,730,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,712.8870664698533,yes,no,unknown,18,jun,704,4,-1,0,unknown,yes
33,management,single,tertiary,no,1211.542307110591,yes,no,cellular,18,may,536,2,-1,0,unknown,yes
28,services,single,secondary,no,1933.0972953899832,yes,no,cellular,18,may,97,1,355,2,failure,no
23,technician,single,secondary,no,597.5863602008083,no,no,cellular,11,nov,406,1,195,1,failure,yes
87,retired,married,primary,no,192.71248616577182,no,no,cellular,30,oct,144,1,-1,0,unknown,yes
27,admin.,married,secondary,no,1658.8681770300595,no,no,cellular,29,dec,196,2,197,2,success,yes
33,services,married,secondary,no,1404.893613905894,no,no,cellular,4,may,489,1,182,1,success,yes
44,technician,married,secondary,no,8318.891705208176,no,no,cellular,20,aug,188,6,-1,0,unknown,no
32,blue-collar,single,primary,no,1208.0226661301683,yes,no,cellular,20,nov,114,1,-1,0,unknown,no
28,admin.,single,tertiary,no,686.184284110488,no,no,telephone,29,mar,433,3,342,1,failure,yes
32,services,married,secondary,no,3922.1016870223943,yes,no,cellular,18,nov,100,2,189,1,failure,no
45,technician,divorced,unknown,yes,-29.677816294283776,no,yes,unknown,3,jul,158,3,-1,0,unknown,no
34,housemaid,married,secondary,no,389.02588154118484,yes,no,cellular,15,jul,659,3,-1,0,unknown,no
43,blue-collar,married,primary,no,-152.49170214630195,yes,no,cellular,17,apr,351,1,337,3,failure,no
32,technician,single,tertiary,no,780.6541523158902,no,no,cellular,28,aug,68,27,-1,0,unknown,no
